Names;Mesure0;Mesure1;Mesure2;Mesure3;Mesure4;Mesure5;Mesure6;Mesure7;Mesure8;Mesure9
LYCEE CHARLIE CHAPLIN (GENERAL ET TECHNO.);2013;30;101;167;103;445;90;87;83;396
LYCEE LOUIS ARAGON;2013;50;57;130;52;337;84;84;94;301
LYCEE SAINT LOUIS-SAINT BRUNO;2013;18;38;40;34;130;100;100;93;172
LYCEE LACASSAGNE;2013;27;37;80;31;175;67;92;89;167
LYCEE LA MARTINIERE  DUCHERE;2013;17;83;117;68;406;88;89;97;379
LYCEE ALBERT CAMUS;2013;21;45;77;60;311;76;91;94;322
LYCEE RENE DESCARTES;2013;31;98;164;88;440;90;96;100;449
LYCEE CLAUDE BERNARD (GENERAL ET TECHNO.);2013;70;77;96;108;351;83;82;95;343
LYCEE LA JETEE (GENERAL ET TECHNO.);2013;29;34;51;47;161;83;56;96;151
LYCEE ACAJOU 1;2013;20;24;31;49;124;85;75;58;96
LYCEE YOUNOUSSA BAMANA;2013;120;140;112;404;776;66;68;73;635
LYCEE DE SADA (GENERAL ET TECHNO.);2013;64;117;63;197;441;81;62;78;364
LYCEE ALPHONSE DAUDET;2013;70;122;211;60;463;99;95;95;474
LYCEE JACQUES PREVERT (GENERAL ET TECHNO.);2013;14;56;79;54;203;93;98;86;231
LYCEE JEAN MOULIN (GENERAL ET TECHNO.);2013;62;60;154;76;529;90;85;92;497
LYCEE GEORGES POMPIDOU (GENERAL ET TECHNO.);2013;34;85;154;91;364;100;99;99;399
LYCEE RENE GOSSE;2013;31;45;80;42;198;84;98;95;174
LYCEE JEAN HYPPOLITE (GENERAL ET TECHNO.);2013;34;22;85;22;203;76;100;86;243
LYCEE JEAN DAUTET;2013;77;122;164;90;453;99;94;99;485
LYCEE MAURICE MERLEAU-PONTY;2013;58;91;99;104;352;97;97;98;373
LYCEE SAINT JOSEPH (GENERAL ET TECHNO.);2013;13;18;49;22;130;92;94;96;111
LYCEE PIERRE BAYLE;2013;23;27;62;73;208;100;85;84;253
LYCEE FREDERIC OZANAM;2013;18;31;41;36;159;100;94;93;183
LYCEE COLBERT;2013;29;29;35;23;116;90;72;63;104
LYCEE CORDELIERS-N-D DE LA VICTOIRE;2013;13;37;75;35;160;100;100;97;180
LYCEE HENRI AVRIL (GENERAL ET TECHNO.);2013;31;47;82;35;195;81;98;95;249
LYCEE FELIX LE DANTEC;2013;53;79;168;61;418;92;95;98;486
LYCEE ERNEST RENAN;2013;43;54;97;36;281;98;98;93;294
LYCEE ESTRAN CHARLES DE FOUCAULD;2013;30;55;85;60;242;100;95;99;250
LYCEE JEAN MOULIN;2013;27;25;41;29;122;96;84;88;165
LYCEE DE L'ELORN (GENERAL ET TECHNO.);2013;19;37;76;46;201;95;100;100;235
LYCEE DU LEON;2013;17;40;63;33;153;76;90;84;146
LYCEE NOTRE DAME DU MUR;2013;13;23;56;23;115;100;100;100;112
LYCEE TRISTAN CORBIERE;2013;17;41;81;22;245;100;95;96;256
LYCEE SEVIGNE;2013;17;122;175;63;377;94;99;98;404
LYCEE RENE DESCARTES;2013;35;120;138;91;384;100;91;95;405
LYCEE NOTRE DAME DU VOEU;2013;18;49;64;32;163;83;100;95;139
LYCEE ALAIN RENE LESAGE;2013;24;90;140;67;376;96;92;93;392
LYCEE LOUISE MICHEL (GENERAL ET TECHNO.);2013;32;76;99;82;289;94;96;79;244
LYCEE LES FONTENELLES (GENERAL ET TECHNO.);2013;24;70;91;68;279;88;81;91;301
LYCEE JACQUES PREVERT;2013;52;51;116;86;333;96;88;94;362
LYCEE GALILEE (GENERAL ET TECHNO.);2013;42;105;157;35;396;88;88;96;392
LYCEE PORTE OCEANE (GENERAL ET TECHNO.);2013;24;36;19;56;135;88;83;84;110
LYCEE ROBERT SCHUMAN;2013;14;20;20;26;130;71;65;100;129
LYCEE DE LA COTE D'ALBATRE;2013;18;28;67;46;159;94;100;91;175
LYCEE LOUIS PASTEUR;2013;32;70;125;67;294;81;89;93;323
LYCEE JEAN JACQUES HENNER (GENERAL ET TECHNO.);2013;45;105;158;39;380;96;95;98;343
LYCEE JEANNE D ARC;2013;14;62;106;19;201;93;97;97;234
LYCEE FREDERIC KIRSCHLEGER;2013;23;33;48;19;123;100;97;98;128
LYCEE RAYMOND SAVIGNAC;2013;18;32;48;20;118;94;88;96;140
LYCEE PARDAILHAN;2013;28;43;88;64;223;100;98;93;200
LYCEE BOSSUET;2013;30;33;44;46;153;90;97;95;144
LYCEE MARECHAL LANNES (GENERAL ET TECHNO.);2013;16;17;17;12;62;100;82;94;79
LYCEE PIERRE D'ARAGON;2013;46;139;183;148;616;91;92;95;570
LYCEE DE BAGATELLE;2013;37;70;110;73;290;86;91;94;310
LYCEE BELLEVUE (GENERAL ET TECHNO.);2013;34;119;211;89;453;79;84;93;471
LYCEE RIVE GAUCHE;2013;25;90;148;94;392;88;90;94;456
LYCEE RENE BILLERES;2013;13;21;39;24;97;100;86;100;105
LYCEE NOTRE-DAME DE GARAISON (GENERAL ET TECHNO.);2013;12;5;19;12;48;100;80;89;59
LYCEE DES METIERS CHAMPOLLION;2013;13;36;60;41;173;85;100;97;189
LYCEE D'AMBOISE;2013;10;15;20;35;80;100;93;100;79
LYCEE LOUIS FEUILLADE (GENERAL ET TECHNO.);2013;71;55;105;104;335;85;91;88;303
LYCEE JEAN MOULIN;2013;46;77;140;68;331;87;88;91;282
LYCEE ARISTIDE MAILLOL (GENERAL ET TECHNO.);2013;47;59;130;94;357;87;81;83;375
LYCEE FRANCOIS ARAGO;2013;35;102;185;103;425;86;93;90;420
LYCEE ARTHUR VAROQUAUX;2013;21;69;101;53;456;90;90;92;381
LYCEE LOUIS MAJORELLE;2013;16;77;103;65;288;100;91;93;288
LYCEE HENRI VOGT (GENERAL ET TECHNO.);2013;28;40;57;13;162;71;100;91;191
LYCEE SAINTE ANNE;2013;3;11;8;8;64;100;100;100;68
LYCEE TEYSSIER;2013;28;51;69;24;172;93;94;97;187
LYCEE CHARLES HERMITE (GENERAL ET TECHNO.);2013;9;30;59;35;155;89;87;88;163
LYCEE ANTOINE DE SAINT-EXUPERY;2013;34;85;90;72;281;100;81;92;311
LYCEE ROBERT SCHUMAN;2013;36;56;93;179;364;92;88;78;250
LYCEE JEAN-VICTOR PONCELET;2013;47;95;155;100;397;94;93;94;352
LYCEE JULES FERRY;2013;53;70;57;83;263;96;90;89;198
LYCEE BEAU JARDIN;2013;18;32;34;24;108;94;100;100;102
LYCEE ST JOSEPH;2013;12;27;73;28;162;83;100;100;192
LYCEE ST JOSEPH;2013;10;32;65;30;137;100;100;98;104
LYCEE CARCOUET;2013;23;41;41;52;157;83;95;93;150
LYCEE CHEVROLLIER (GENERAL ET TECHNO.);2013;41;43;133;100;469;100;91;95;461
LYCEE EUROPE ROBERT SCHUMAN (GENERAL ET TECHNO.);2013;40;76;92;46;254;78;84;86;202
LYCEE ANDRE MALRAUX;2013;20;38;66;44;238;95;100;88;237
LYCEE RACAN;2013;10;38;51;34;133;100;95;98;143
LYCEE ROBERT GARNIER (GENERAL ET TECHNO.);2013;22;55;67;66;228;91;89;94;256
LYCEE MARGUERITE YOURCENAR;2013;46;111;116;70;343;80;87;94;340
LYCEE NOTRE DAME (GENERAL ET TECHNO.);2013;51;72;89;47;312;100;99;100;327
LYCEE JEAN XXIII;2013;28;44;80;30;182;96;100;98;177
LYCEE JEANNE D'ARC;2013;16;14;42;26;114;100;100;100;156
LYCEE FENELON;2013;10;51;63;27;151;100;100;100;172
LYCEE GUILLAUME APOLLINAIRE;2013;53;94;124;113;430;83;71;85;357
LYCEE THIERRY MAULNIER;2013;35;88;167;92;405;86;97;89;404
LYCEE BEAUSSIER;2013;69;92;156;143;460;91;95;93;457
LYCEE DUMONT D URVILLE;2013;97;150;222;85;554;93;85;91;485
LYCEE PIERRE ET MARIE CURIE;2013;63;97;119;56;335;84;86;92;338
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.);2013;26;63;72;47;222;88;92;96;286
LYCEE JEAN MONNET;2013;30;105;156;48;339;97;87;91;304
LYCEE CHOISEUL;2013;33;56;99;77;378;91;95;93;330
LYCEE FRANCOIS PHILIBERT DESSAIGNES;2013;63;52;113;73;407;92;94;98;417
LYCEE RONSARD (GENERAL ET TECHNO.);2013;32;64;128;73;297;91;98;99;345
LYCEE BENJAMIN FRANKLIN (GENERAL ET TECHNO.);2013;28;63;96;55;292;89;84;85;305
LYCEE VOLTAIRE;2013;50;72;146;51;420;92;94;90;408
LYCEE SOPHIE GERMAIN;2013;44;82;68;32;226;98;99;97;236
LYCEE LES PETITS CHAMPS;2013;23;29;27;27;106;100;100;100;104
LYCEE FRANCOIS VILLON;2013;18;32;25;29;104;67;84;76;75
LYCEE CHARLES DE FOUCAULD;2013;27;24;27;49;127;96;100;100;139
LYCEE MARGUERITE DE VALOIS;2013;54;67;85;95;373;80;94;93;324
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2013;23;68;69;68;228;83;91;88;210
LYCEE JULIEN WITTMER (GENERAL ET TECHNO.);2013;15;60;72;26;211;93;95;99;246
LYCEE GABRIEL FAURE (GENERAL ET TECHNO.);2013;29;64;66;47;248;93;95;95;258
LYCEE MARIE RIVIER;2013;16;26;50;24;129;94;96;96;123
LYCEE HILAIRE DE CHARDONNET (GENERAL ET TECHNO.);2013;31;51;49;48;179;87;90;100;185
LYCEE LAMARTINE;2013;49;81;143;98;371;92;91;91;402
LYCEE BARTHELEMY DE LAFFEMAS;2013;25;60;74;88;247;80;92;93;253
LYCEE STE MARIE;2012;7;29;28;26;90;100;100;100;105
LYCEE MONTMAJOUR;2012;21;34;48;66;169;95;79;96;187
LYCEE JULES SUPERVIELLE;2012;13;53;87;18;171;100;98;95;190
LYCEE TERTIAIRE ET  SOCIAL G.LEYGUES;2012;24;66;90;76;256;92;91;96;245
LYCEE EMILE LITTRE (GENERAL ET TECHNO.);2012;33;70;74;82;286;85;93;91;281
LYCEE NAPOLEON;2012;15;31;51;42;154;87;100;92;196
LYCEE VICTOR GRIGNARD;2012;37;76;88;33;234;97;96;97;213
LYCEE HENRI CORNAT;2012;39;72;97;56;264;85;96;91;294
LYCEE URUGUAY FRANCE;2012;15;33;59;48;288;60;91;95;323
LYCEE LA TOUR DES DAMES (GENERAL ET TECHNO.);2012;25;44;64;38;200;92;91;97;171
LYCEE JULES FERRY (GENERAL ET TECHNO.);2012;51;66;109;83;378;78;89;92;363
LYCEE FREDERIC JOLIOT CURIE;2012;34;70;83;55;261;76;90;93;278
LYCEE CHARLES DE GAULLE;2012;20;58;95;59;289;90;79;78;243
LYCEE VAN DONGEN;2012;34;85;83;73;321;94;85;94;326
LYCEE RENE DESCARTES (GENERAL ET TECHNO.);2012;18;50;55;50;173;94;72;85;154
LYCEE FRANCOIS ARAGO (GENERAL ET TECHNO.);2012;6;18;31;28;115;67;89;81;122
LYCEE GUILLAUME APOLLINAIRE;2012;34;102;141;83;368;85;85;84;330
LYCEE CONDORCET (GENERAL ET TECHNO.);2012;22;51;50;50;173;82;90;96;204
LYCEE ROBERT SCHUMAN (GENERAL ET TECHNO.);2012;20;33;53;51;157;75;52;81;155
LYCEE MAURICE GENEVOIX (GENERAL ET TECHNO.);2012;15;22;50;38;125;80;95;92;128
LYCEE DES DROITS DE L'HOMME;2012;66;102;95;126;448;82;78;77;416
LYCEE FELIX EBOUE;2012;56;51;84;115;322;91;73;79;315
LYCEE ILES DU NORD (GENERAL ET TECHNO.);2012;28;54;37;61;180;89;81;81;222
LYCEE STE ANNE;2012;65;64;123;56;308;75;81;90;314
LYCEE NORD BASSE TERRE;2012;25;50;63;45;183;96;88;89;194
LYCEE SARDA GARRIGA;2012;26;71;130;119;346;100;94;92;356
LYCEE LÉON BLUM (GENERAL ET TECHNO.);2012;18;55;87;44;247;78;87;100;214
LYCEE CAMILLE CLAUDEL;2012;16;50;62;24;181;81;84;87;158
LYCEE JEANNE D'ARC;2012;9;24;28;15;76;100;100;100;83
LYCEE MARCEL GIMOND (GENERAL ET TECHNO.);2012;49;81;82;54;266;80;88;90;231
LYCEE SAINT JOSEPH (GENERAL ET TECHNO.);2012;19;25;36;11;91;100;96;94;105
LYCEE MARIE CURIE;2012;27;134;158;59;413;89;93;96;435
LYCEE SAINTE FAMILLE;2012;17;38;51;26;141;100;100;100;176
LYCEE EAUX CLAIRES;2012;32;67;90;47;236;97;97;100;279
LYCEE PAUL HEROULT;2012;14;55;91;43;229;93;89;95;209
LYCEE ROBIN;2012;19;62;81;45;222;95;97;100;245
LYCEE DE LA MATHEYSINE (GENERAL ET TECHNO.);2012;17;17;41;23;98;88;88;95;115
LYCEE ARISTIDES BERGES;2012;27;67;124;87;305;89;93;95;337
LYCEE GABRIEL FAURE;2012;23;63;67;59;279;100;92;96;273
LYCEE MARIE RIVIER;2012;10;20;50;17;114;70;95;96;138
LYCEE XAVIER MALLET (GENERAL ET TECHNO.);2012;12;21;45;19;97;100;95;96;114
LYCEE LES TROIS SOURCES;2012;15;68;73;62;218;73;88;96;222
LYCEE ALAIN BORNE;2012;61;63;121;118;363;93;98;95;431
LYCEE BARTHELEMY DE LAFFEMAS;2012;24;57;81;78;240;63;88;93;301
LYCEE GUY MOLLET (GENERAL ET TECHNO.);2012;14;77;100;88;412;100;75;91;378
LYCEE MIREILLE GRENET;2012;13;21;45;46;208;85;95;87;223
LYCEE PAUL CLAUDEL;2012;43;68;62;47;288;93;87;85;290
LYCEE SAINT PIERRE;2012;5;19;29;12;65;100;89;93;91
LYCEE CHARLES DE GAULLE;2012;34;69;104;88;295;74;90;90;243
LYCEE LOUIS PASTEUR;2012;14;34;42;61;228;100;97;98;257
LYCEE DENIS DIDEROT (GENERAL ET TECHNO.);2012;22;23;48;45;268;59;35;54;199
LYCEE JEAN COCTEAU;2012;21;34;59;42;199;90;85;80;192
LYCEE RENE CHAR;2012;33;57;82;35;284;94;98;88;345
LYCEE MARCEL PAGNOL;2012;40;69;72;93;274;95;90;86;306
LYCEE MONTGRAND;2012;47;53;96;59;255;87;75;74;253
LYCEE DE BORDA (GENERAL ET TECHNO.);2012;54;100;211;134;582;94;94;93;584
LYCEE STE MARIE BASTIDE;2012;25;37;66;65;246;88;97;97;242
LYCEE ELIE FAURE;2012;47;113;94;81;335;74;78;82;274
LYCEE PRE DE CORDY;2012;39;53;70;34;219;87;92;91;229
LYCEE LAMARCK;2012;13;23;31;38;124;92;96;87;146
LYCEE XAVIER MARMIER (GENERAL ET TECHNO.);2012;28;88;128;68;312;89;97;95;361
LYCEE GEORGES COLOMB;2012;16;58;55;39;168;100;93;80;169
LYCEE LOUIS LIARD (GENERAL ET TECHNO.);2012;22;47;57;58;184;91;85;89;176
LYCEE LA CHARTREUSE PARADIS;2012;4;15;23;16;69;100;93;96;77
LYCEE LAETITIA BONAPARTE;2012;46;102;115;74;363;93;94;96;373
LYCEE EUGENE DELACROIX (GENERAL ET TECHNO.);2012;48;81;103;74;369;77;69;81;331
LYCEE JEAN RENOIR;2012;34;78;82;63;304;76;87;87;317
LYCEE GUSTAVE EIFFEL;2012;24;83;95;33;329;67;81;81;288
LYCEE AMBROISE VOLLARD;2012;34;50;69;98;315;74;84;88;316
LYCEE SAINT REMY;2012;12;18;41;16;133;83;100;93;143
LYCEE CASSINI;2012;46;114;83;99;406;85;90;78;422
LYCEE JULES UHRY;2012;47;39;34;56;266;68;67;56;230
LYCEE VAL DE DURANCE (GENERAL ET TECHNO.);2012;39;53;161;69;322;90;87;86;311
LYCEE PIERRE D AILLY;2012;48;99;164;61;372;90;91;91;387
LYCEE GERARD DE NERVAL;2012;58;84;76;91;309;81;86;95;302
LYCEE JEANNE HACHETTE;2012;57;67;84;79;287;88;97;92;310
LYCEE CONDORCET;2012;40;57;122;78;297;85;86;84;291
LYCEE ODILON REDON;2012;33;47;63;21;189;85;74;83;200
LYCEE VICTOR LOUIS (GENERAL ET TECHNO.);2012;48;101;121;158;428;81;93;94;427
LYCEE VICTOR DURUY;2012;55;51;102;43;251;93;90;92;262
LYCEE SAINT-EXUPERY;2012;19;40;54;24;137;100;90;93;195
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2012;22;71;68;97;258;82;69;81;239
LYCEE ARC (DE L');2012;47;93;120;86;346;89;94;78;344
LYCEE LUMIERE (GENERAL ET TECHNO.);2012;19;33;76;23;194;84;94;93;198
LYCEE PRE SAINT SAUVEUR;2012;18;39;43;28;137;78;90;79;157
LYCEE JEAN CALVIN;2012;33;75;108;56;338;88;93;85;364
LYCEE CONDORCET;2012;45;74;98;57;274;89;89;91;286
LYCEE GEORGES CUVIER;2012;36;77;161;71;345;89;87;86;368
LYCEE ANDRE MALRAUX;2012;26;69;40;63;198;100;87;75;189
LYCEE SACRE COEUR;2012;16;52;57;27;152;100;75;84;156
LYCEE PAUL CEZANNE;2012;100;106;185;88;479;95;94;95;479
LYCEE AMBROISE BRUGIERE;2012;24;85;69;78;256;100;75;77;244
LYCEE LA FAYETTE;2012;15;33;35;27;110;93;91;94;117
LYCEE ALBERT SOREL (GENERAL ET TECHNO.);2012;18;24;32;17;91;100;88;91;78
LYCEE JEAN PAUL II;2012;8;16;32;8;64;88;88;100;114
LYCEE LE CASTEL (GENERAL ET TECHNO.);2012;58;24;49;62;261;93;88;90;301
LYCEE MATHIAS (GENERAL ET TECHNO.);2012;59;63;58;52;332;69;87;91;308
LYCEE ROMAIN ROLLAND (GENERAL ET TECHNO.);2012;14;13;40;16;83;93;100;83;88
LYCEE ANNA JUDIC (GENERAL ET TECHNO.);2012;29;40;48;37;154;90;93;98;156
LYCEE CATHERINE ET RAYMOND JANOT;2012;95;69;168;90;528;76;78;80;650
LYCEE BOISSY D'ANGLAS;2012;37;53;68;43;229;89;92;94;261
LYCEE LAMARTINE;2012;67;67;129;96;359;90;90;86;370
LYCEE PIERRE LAROUSSE;2012;25;18;56;27;126;100;89;88;135
LYCEE JEAN MACE;2012;23;50;75;111;291;100;88;87;279
LYCEE FREDERIC MISTRAL (GENERAL ET TECHNO.);2012;40;97;148;57;342;98;95;99;323
LYCEE HECTOR BERLIOZ;2012;59;102;131;46;338;95;98;95;342
LYCEE PABLO PICASSO;2012;66;72;81;56;275;86;85;90;265
LYCEE EPIN;2012;9;25;37;10;81;100;100;100;80
LYCEE GUILLAUME FICHET (GENERAL ET TECHNO.);2012;26;47;82;59;214;81;89;84;212
LYCEE DR. GUSTAVE JAUME (GENERAL ET TECHNO.);2012;24;57;69;55;205;96;82;97;184
LYCEE CHARLES BAUDELAIRE;2012;99;127;168;93;487;92;95;95;474
LYCEE SAINT AMBROISE;2012;15;44;85;67;261;100;100;99;280
LYCEE DU GRANIER;2012;26;88;118;98;396;96;98;98;452
LYCEE LA SAULAIE (GENERAL ET TECHNO.);2012;23;54;99;51;227;91;93;94;221
LYCEE LEONARD DE VINCI;2012;33;53;93;34;213;85;98;91;241
LYCEE DE L'EDIT;2012;20;46;48;42;156;100;96;85;183
LYCEE PIERRE DU TERRAIL;2012;32;79;106;42;259;97;97;94;316
LYCEE CAMILLE COROT;2012;27;54;64;42;187;89;89;94;182
LYCEE LUMINA SOPHIE (GENERAL ET TECHNO.);2012;16;19;17;82;134;50;74;76;129
LYCEE LA POSSESSION (GENERAL ET TECHNO.);2012;33;53;95;87;268;73;81;92;246
LYCEE LEOPOLD ELFORT (GENERAL ET TECHNO.);2012;14;15;19;27;75;79;67;63;60
LYCEE EUGENE THOMAS (GENERAL ET TECHNO.);2012;8;16;53;13;141;88;88;83;138
LYCEE JEAN-BAPTISTE COROT;2012;42;62;66;97;279;83;89;76;247
LYCEE EVARISTE DE PARNY;2012;55;96;143;135;429;91;91;92;371
LYCEE LE VERGER;2012;57;69;63;100;289;75;83;83;205
LYCEE MARIETTE;2012;76;70;152;105;478;92;96;90;447
LYCEE LAVOISIER;2012;10;24;21;37;92;100;75;90;90
LYCEE D'ARTOIS (GENERAL ET TECHNO.);2012;19;35;55;52;161;84;80;100;159
LYCEE DE LA PLAINE DE L'AIN;2012;33;97;139;84;444;82;98;97;438
LYCEE ALEXANDRE RIBOT;2012;34;103;124;100;361;97;87;87;331
LYCEE AUGUSTE RENOIR;2012;46;80;109;77;312;93;91;89;286
LYCEE DU BUGEY;2012;27;42;73;31;173;81;83;90;161
LYCEE VAL DE SEINE;2012;33;66;80;55;358;52;76;84;317
LYCEE ROBERT SCHUMAN;2012;15;34;29;25;159;60;53;76;85
LYCEE CLAUDE MONET;2012;60;76;89;87;380;92;88;97;365
LYCEE ANGUIER;2012;23;43;62;35;185;74;84;87;239
LYCEE STANISLAS;2012;27;101;104;43;315;96;99;97;333
LYCEE SAINT-JOSEPH;2012;7;19;14;16;56;86;89;93;72
LYCEE MARECHAL SOULT;2012;17;25;41;23;136;76;80;95;167
LYCEE L ESSOURIAU (GENERAL ET TECHNO.);2012;40;61;102;65;320;95;90;87;289
LYCEE MARCEL PAGNOL;2012;25;69;85;95;338;92;90;82;333
LYCEE JACQUES PREVERT;2012;23;67;115;47;252;96;90;87;284
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2012;22;67;95;83;319;91;73;86;300
LYCEE JEAN-PIERRE VERNANT;2012;68;106;203;59;464;94;92;92;469
LYCEE GUSTAVE MONOD;2012;53;88;138;60;417;74;84;92;412
LYCEE CHARLES BAUDELAIRE (GENERAL ET TECHNO.);2012;15;31;46;67;159;100;68;70;131
LYCEE TOULOUSE LAUTREC;2012;6;10;13;9;38;100;80;85;36
LYCEE CAMILLE SAINT-SAENS;2012;35;104;115;90;344;80;74;81;273
LYCEE VAN GOGH;2012;47;118;161;128;454;85;87;94;418
LYCEE MONTESQUIEU;2012;56;133;130;88;407;98;93;89;319
LYCEE CLEMENT MAROT;2012;55;63;93;66;321;89;95;89;349
LYCEE NOTRE-DAME DE GARAISON (GENERAL ET TECHNO.);2012;5;10;8;9;32;100;100;88;51
LYCEE MONTALEMBERT LES MARISTES (GENERAL ET TECHNO.);2012;4;16;17;20;57;100;81;76;61
LYCEE MARCELIN BERTHELOT;2012;32;58;85;95;270;94;84;92;198
LYCEE TOULOUSE-LAUTREC;2012;30;104;152;188;474;77;93;93;443
LYCEE EMMANUEL MOUNIER;2012;17;31;60;52;160;88;97;90;215
LYCEE MONTALEMBERT;2012;17;86;55;100;258;94;100;100;314
LYCEE JACQUES MONOD;2012;34;140;183;69;426;88;89;91;411
LYCEE ST JOSEPH DE LA MADELEINE;2013;36;27;43;23;129;97;100;100;130
LYCEE HONORE DAUMIER;2013;31;76;86;64;257;87;87;84;256
LYCEE MONTGRAND;2013;46;53;96;60;255;85;79;76;246
LYCEE PAUL ARENE (GENERAL ET TECHNO.);2013;17;37;50;26;156;94;97;78;150
LYCEE MONTMAJOUR;2013;27;37;54;44;178;93;86;81;198
LYCEE NOTRE DAME;2012;25;70;123;49;293;96;100;100;299
LYCEE FELIX ESCLANGON;2013;39;76;72;67;254;97;93;90;308
LYCEE PAUL CEZANNE;2013;76;131;190;91;488;99;93;94;495
LYCEE STE MARIE;2013;14;30;26;26;96;100;100;100;112
LYCEE LOUIS BASCAN (GENERAL ET TECHNO.);2012;83;100;173;86;537;86;93;96;552
LYCEE DUMONT D URVILLE (GENERAL ET TECHNO.);2012;15;46;47;53;161;73;85;85;194
LYCEE SUD MEDOC LA BOETIE;2012;41;125;185;58;409;85;91;96;468
LYCEE JEAN CONDORCET;2012;15;48;40;96;199;80;71;83;131
LYCEE ANATOLE DE MONZIE;2012;20;19;41;62;142;85;79;98;151
LYCEE GRAND AIR;2012;33;88;106;123;350;100;91;93;389
LYCEE AUGUSTIN FRESNEL;2012;27;85;111;70;293;93;84;86;295
LYCEE MARIE CURIE;2012;27;59;72;56;281;93;97;99;304
LYCEE ST FRANCOIS DE SALES (GENERAL ET TECHNO.);2012;12;27;42;19;100;83;93;100;84
INSTITUT SAINT-LO;2012;19;49;71;26;165;100;100;100;183
LYCEE JOACHIM DU BELLAY;2012;76;66;85;66;305;93;92;93;289
LYCEE EUROPE ROBERT SCHUMAN;2012;45;91;86;65;287;84;87;84;230
LYCEE HENRI BERGSON;2012;20;69;82;48;219;90;97;95;218
LYCEE GUILLAUME APOLLINAIRE;2012;65;74;131;114;427;88;92;83;452
LYCEE ST GABRIEL ST MICHEL;2012;14;56;80;17;205;93;96;94;184
LYCEE PARC IMPERIAL;2012;61;113;178;88;440;92;89;92;569
LYCEE SIMONE VEIL;2012;28;81;111;58;278;86;88;89;312
LYCEE DUMONT D URVILLE;2012;100;149;204;87;540;82;77;90;513
LYCEE JEAN MOULIN;2012;63;60;166;114;403;78;98;89;378
LYCEE ATLANTIQUE (GENERAL ET TECHNO.);2012;25;12;30;37;170;92;92;100;206
LYCEE MARGUERITE YOURCENAR;2012;34;112;114;93;353;82;93;93;370
LYCEE DOUANIER ROUSSEAU;2012;39;54;79;61;233;92;87;96;278
LYCEE LAVOISIER;2012;36;44;70;44;194;83;95;99;205
LYCEE RACAN;2012;15;21;56;43;135;100;90;93;145
LYCEE BONAPARTE;2012;47;85;116;66;380;87;94;91;465
LYCEE REMI BELLEAU;2012;29;59;63;53;204;83;80;87;234
LYCEE ALFRED DE VIGNY;2012;30;47;91;39;207;90;96;95;225
LYCEE STE MARIE ST DOMINIQUE;2012;14;51;58;24;147;100;80;95;159
LYCEE VENISE VERTE;2012;24;63;78;99;362;96;92;99;355
LYCEE MAURICE MERLEAU-PONTY;2012;56;77;97;100;330;93;96;95;345
LYCEE JEAN DAUTET;2012;72;117;138;104;431;94;95;93;459
LYCEE VAUBAN;2012;13;15;28;9;65;69;73;93;59
LYCEE DE LA FONTAINE DES EAUX;2012;50;80;78;69;304;94;95;94;350
LYCEE ESTRAN CHARLES DE FOUCAULD;2012;26;75;80;55;246;96;99;100;272
LYCEE NOTRE DAME;2012;13;40;43;32;201;100;95;100;256
LYCEE ST EXUPERY;2012;30;48;45;33;190;90;81;69;194
LYCEE IMMACULEE CONCEPTION;2012;11;21;40;22;94;91;86;93;106
LYCEE CHRESTIEN DE TROYES;2012;21;81;80;145;327;100;94;89;299
LYCEE GASTON BACHELARD;2012;18;25;61;18;122;94;88;87;123
LYCEE PAUL ARENE;2012;31;38;63;18;179;87;89;90;173
LYCEE SACRE COEUR (LE);2012;35;68;84;48;298;97;97;96;300
LYCEE FELIX ESCLANGON;2012;46;82;85;89;302;91;96;94;356
LYCEE JEAN-PAUL SARTRE;2012;51;88;146;71;424;100;95;98;420
LYCEE AIGUERANDE (GENERAL ET TECHNO.);2012;54;63;112;62;327;83;87;96;362
LYCEE BLAISE PASCAL;2012;29;99;146;72;370;79;89;97;464
LYCEE CHARLES DE FOUCAULD;2012;16;34;87;28;165;100;100;100;204
LYCEE TEZENAS DU MONTCEL;2012;5;27;16;80;128;100;74;88;122
INSTITUTION ST JOSEPH CARNOLES (GENERAL ET TECHNO.);2012;9;33;38;27;107;100;94;95;145
LYCEE ALBERT CALMETTE;2012;52;99;176;86;413;98;95;94;441
LYCEE FENELON;2012;12;52;61;12;137;100;100;100;160
LYCEE MAINTENON (GENERAL ET TECHNO.);2012;16;35;63;27;141;100;97;95;177
LYCEE JEAN MOULIN;2012;20;46;71;58;195;80;96;86;195
LYCEE EDOUARD VAILLANT;2012;34;59;78;81;252;88;80;87;220
LYCEE GRANDMONT;2012;69;117;181;81;612;84;90;96;644
LYCEE JEAN MONNET;2012;45;139;140;35;359;84;79;91;338
LYCEE SILVIA MONFORT;2012;32;97;74;48;251;91;81;78;241
LYCEE EMILE ZOLA;2012;26;48;94;60;228;96;100;96;210
LYCEE SAINT DENIS;2012;12;22;21;19;74;92;100;100;136
LYCEE BENJAMIN FRANKLIN (GENERAL ET TECHNO.);2012;14;68;110;54;290;50;66;75;326
